Wavelength		Absorption cross section	Emission cross section			
m	nm	m2	m2			
8.7300000000000000E-07	8.7300000000000000E+02	9.8779348730511100E-26	2.5339985877568700E-28			
8.7400000000000000E-07	8.7400000000000000E+02	1.0427782457407000E-25	2.8529907488738700E-28			
8.7500000000000000E-07	8.7500000000000000E+02	1.1021057245367600E-25	3.2154067775724100E-28			
8.7600000000000000E-07	8.7600000000000000E+02	1.1625697515902300E-25	3.6163648467277900E-28			
8.7700000000000000E-07	8.7700000000000000E+02	1.2250080929313400E-25	4.0622742755995500E-28			
8.7800000000000000E-07	8.7800000000000000E+02	1.2870822891404300E-25	4.5493608969238900E-28			
8.7900000000000000E-07	8.7900000000000000E+02	1.3511887306053900E-25	5.0899184522511400E-28			
8.8000000000000000E-07	8.8000000000000000E+02	1.4174853407483900E-25	5.6898560276762300E-28			
8.8100000000000000E-07	8.8100000000000000E+02	1.4839346778671400E-25	6.3463314136022000E-28			
8.8200000000000000E-07	8.8200000000000000E+02	1.5613242022734100E-25	7.1131817040636700E-28			
8.8300000000000000E-07	8.8300000000000000E+02	1.6437069513450500E-25	7.9761965316574100E-28			
8.8400000000000000E-07	8.8400000000000000E+02	1.7230472071755400E-25	8.9044537375058600E-28			
8.8500000000000000E-07	8.8500000000000000E+02	1.7966487947332900E-25	9.8866728828246700E-28			
8.8600000000000000E-07	8.8600000000000000E+02	1.9545513844950900E-25	1.1451156836323100E-27			
8.8700000000000000E-07	8.8700000000000000E+02	2.1003924532820900E-25	1.3099558259349100E-27			
8.8800000000000000E-07	8.8800000000000000E+02	2.2166961951101000E-25	1.4714826672801100E-27			
8.8900000000000000E-07	8.8900000000000000E+02	2.3294936754201300E-25	1.6456684121415000E-27			
8.9000000000000000E-07	8.9000000000000000E+02	2.4361627559603500E-25	1.8312944263945500E-27			
8.9100000000000000E-07	8.9100000000000000E+02	2.5359737531494400E-25	2.0281831213439900E-27			
8.9200000000000000E-07	8.9200000000000000E+02	2.6183720511443300E-25	2.2276346496846600E-27			
8.9300000000000000E-07	8.9300000000000000E+02	2.7026650553955700E-25	2.4456533382598000E-27			
8.9400000000000000E-07	8.9400000000000000E+02	2.8125859834867800E-25	2.7066905676370500E-27			
8.9500000000000000E-07	8.9500000000000000E+02	2.9465699546151400E-25	3.0152265990844300E-27			
8.9600000000000000E-07	8.9600000000000000E+02	3.0970376681051600E-25	3.3694619233071700E-27			
8.9700000000000000E-07	8.9700000000000000E+02	3.2473624460958700E-25	3.7557472883613200E-27			
8.9800000000000000E-07	8.9800000000000000E+02	3.3787841489197900E-25	4.1535404525648800E-27			
8.9900000000000000E-07	8.9900000000000000E+02	3.4919998906529900E-25	4.5621092215514600E-27			
9.0000000000000000E-07	9.0000000000000000E+02	3.5990137676598000E-25	4.9963135434571700E-27			
9.0100000000000000E-07	9.0100000000000000E+02	3.7205870626215900E-25	5.4877437326643200E-27			
9.0200000000000000E-07	9.0200000000000000E+02	3.8564031789618800E-25	6.0425827490253100E-27			
9.0300000000000000E-07	9.0300000000000000E+02	3.9886595231122400E-25	6.6384518083547200E-27			
9.0400000000000000E-07	9.0400000000000000E+02	4.1233856430932800E-25	7.2884553577953500E-27			
9.0500000000000000E-07	9.0500000000000000E+02	4.2885332170109800E-25	8.0495991266841600E-27			
9.0600000000000000E-07	9.0600000000000000E+02	4.4520225812904500E-25	8.8725648771807600E-27			
9.0700000000000000E-07	9.0700000000000000E+02	4.5714255993233900E-25	9.6719143448726000E-27			
9.0800000000000000E-07	9.0800000000000000E+02	4.6760020374356900E-25	1.0501400885357500E-26			
9.0900000000000000E-07	9.0900000000000000E+02	4.7771762533959100E-25	1.1386717852244500E-26			
9.1000000000000000E-07	9.1000000000000000E+02	4.8550262995437000E-25	1.2280521409608800E-26			
9.1100000000000000E-07	9.1100000000000000E+02	4.9307579956414800E-25	1.3233666808640700E-26			
9.1200000000000000E-07	9.1200000000000000E+02	5.0491303774363200E-25	1.4376988713091100E-26			
9.1300000000000000E-07	9.1300000000000000E+02	5.1747584552468200E-25	1.5630396794146600E-26			
9.1400000000000000E-07	9.1400000000000000E+02	5.2817357569141700E-25	1.6921119160390300E-26			
9.1500000000000000E-07	9.1500000000000000E+02	5.3318988928624000E-25	1.8115524674219600E-26			
9.1600000000000000E-07	9.1600000000000000E+02	5.3455306834974000E-25	1.9258423048106000E-26			
9.1700000000000000E-07	9.1700000000000000E+02	5.3532167602677700E-25	2.0447964306862300E-26			
9.1800000000000000E-07	9.1800000000000000E+02	5.4200151602998100E-25	2.1947535232511700E-26			
9.1900000000000000E-07	9.1900000000000000E+02	5.4700635633547000E-25	2.3478614334408700E-26			
9.2000000000000000E-07	9.2000000000000000E+02	5.4831994236500200E-25	2.4943303856594000E-26			
9.2100000000000000E-07	9.2100000000000000E+02	5.4596232252423100E-25	2.6318894640509500E-26			
9.2200000000000000E-07	9.2200000000000000E+02	5.4185540978215000E-25	2.7676985890618100E-26			
9.2300000000000000E-07	9.2300000000000000E+02	5.3287028106863100E-25	2.8835854827775700E-26			
